OBJECTID,NHSD_OPERATIONALSTATUS,NHSD_ORGANISATION_NAME,NHSD_ADDRESS,NHSD_SUBURB,NHSD_STATE,NHSD_POSTCODE,NHSD_LONG,NHSD_LAT,NHSD_SERVICE_ID,NHSD_SERVICE_TYPE,GNAF_ADDRESS_DETAIL_PID,GA_CLASS,GA_SOURCE_DATE
11,active,Dr Bee Boey Goh,22 Ferdinand Avenue Balwyn North VIC 3104,Balwyn North,VIC,3104,145.093338,-37.79462433,43e6caa8-a3a3-b229-014c-7b436776ce37,General practice service,,GENERAL PRACTICE,2024-03-05
12,active,Kirrae Health Service,1 Kirrae Avenue Purnim VIC 3278,Purnim,VIC,3278,142.6417694,-38.30882645,20d94846-9898-4960-e683-68c89822ff70,General practice service,,GENERAL PRACTICE,2024-03-05
13,active,Tewantin Medical Centre,84 Poinciana Avenue Tewantin QLD 4565,Tewantin,QLD,4565,153.0375977,-26.39131737,5d9dc178-5cb2-9ce9-a35e-ab0eb09ca4a4,General practice service,,GENERAL PRACTICE,2024-03-05
14,active,Ettalong Medical Centre,59-61 Picnic Parade Ettalong Beach NSW 2257,Ettalong Beach,NSW,2257,151.3370514,-33.51329041,5b85cd11-a2ee-aa7d-c917-190b5f61a3f5,General practice service,,GENERAL PRACTICE,2024-03-05
15,active,Kure Medical - Red Cliffs,22 Jamieson Avenue Red Cliffs VIC 3496,Red Cliffs,VIC,3496,142.1885777,-34.30874014,7751d525-641e-40f6-8da9-a0efa181dbda,General practice service,GAVIC414377501,GENERAL PRACTICE,2024-03-05
16,active,Epichealth - Portarlington,39-41 Fenwick Street Portarlington VIC 3223,Portarlington,VIC,3223,144.6521047,-38.1157449,7817ceab-b63b-4095-9ce2-13dbb20de702,General practice service,GAVIC420546845,GENERAL PRACTICE,2024-03-05
17,active,Trafalgar Medical,24a Contingent Street Trafalgar VIC 3824,Trafalgar,VIC,3824,146.1556244,-38.20915222,7d571f74-01a3-293c-bf1a-1d9de575eaa8,General practice service,GAVIC420377720,GENERAL PRACTICE,2024-03-05
18,active,Waterford 7 Day Medical Centre and Skin Cancer Clinic,917 Kingston Road Waterford QLD 4133,Waterford,QLD,4133,153.1351471,-27.69275475,36e6c800-3354-b123-76ff-05599033f90b,General practice service,,GENERAL PRACTICE,2024-03-05
19,active,Dapto Healthcare Medical Centre,33-35 Princes Highway Dapto NSW 2530,Dapto,NSW,2530,150.7957306,-34.49275208,727c996a-0893-1a3f-8124-d7bf66ac5117,General practice service,GANSW717381835,GENERAL PRACTICE,2024-03-05
20,active,Bordertown Medical Centre,10 Woolshed Street Bordertown SA 5268,Bordertown,SA,5268,140.7736053,-36.31254959,7fce9914-6160-9071-f571-7288d3fd5112,General practice service,GASA_417019158,GENERAL PRACTICE,2024-03-05
21,active,Boyd Health Spring Ridge,76 Darby Road Spring Ridge NSW 2343,Spring Ridge,NSW,2343,150.2489855,-31.39475046,c38a8879-51ec-4b0a-a8b6-63228dc984f9,General practice service,GANSW717972919,GENERAL PRACTICE,2024-03-05
22,active,St Lukes Family Practice,7 Elizabeth Street Katanning WA 6317,Katanning,WA,6317,117.5639267,-33.68133545,5d488712-c91d-f011-b6b1-1a01a38ed967,General practice service,GAWA_160665389,GENERAL PRACTICE,2024-03-05
23,active,Maleny Medical Centre,25 Maple Street Maleny QLD 4552,Maleny,QLD,4552,152.8512115,-26.75899887,ce2d29b9-948b-67a5-8484-759784a7cfcd,General practice service,GAQLD162356690,GENERAL PRACTICE,2024-03-05
24,active,Wollondilly Medical Centre,115 Remebrance Drive Tahmoor NSW 2573,Tahmoor,NSW,2573,150.5905113,-34.2227345,281e8d6e-0a8a-4075-bf6b-2d92977ada4b,General practice service,,GENERAL PRACTICE,2024-03-05
25,active,Dubbo Medical and Allied Health Group - Bultje Street,42 Bultje Street Dubbo NSW 2830,Dubbo,NSW,2830,148.6024628,-32.25090027,7e34b06e-d32e-970f-7b99-2dbfab27968e,General practice service,GANSW704605345,GENERAL PRACTICE,2024-03-05
26,active,Western Hospital GP Clinic,168 Cudmore Terrace Henley Beach SA 5022,Henley Beach,SA,5022,138.5001831,-34.91054153,06e0f6a1-1982-32fe-a21c-6dead49afc2a,General practice service,GASA_414971585,GENERAL PRACTICE,2024-03-05
27,active,Primary Care Medical Clinic,13 Medical Place Urraween QLD 4655,Urraween,QLD,4655,152.8264923,-25.30062866,a9a12f06-e217-d29f-cfad-716f204ca39e,General practice service,,GENERAL PRACTICE,2024-03-05
28,active,Holland Park General Practice,1173 Logan Road Holland Park QLD 4121,Holland Park,QLD,4121,153.070694,-27.52886009,3ad7a108-15f5-d563-da5c-6fb6210d93c0,General practice service,,GENERAL PRACTICE,2024-03-05
29,active,Altona Medical Centre,110 Queen Street Altona VIC 3018,Altona,VIC,3018,144.8309937,-37.86988449,65ef56be-82c5-0be5-2fb6-e6ad34d97ecb,General practice service,GAVIC421528709,GENERAL PRACTICE,2024-03-05
30,active,Exmouth Health Professionals,12 Maidstone Crescent Exmouth WA 6707,Exmouth,WA,6707,114.1248,-21.9284,222bf7ca-6b3c-4016-8af2-c57c77e64322,General practice service,,GENERAL PRACTICE,2024-03-05
31,active,Lucindale Health Centre - Kincraig Medical Clinic,22 Musgrave Avenue Lucindale SA 5272,Lucindale,SA,5272,140.3672752,-36.9728778,bd65944a-0012-4c28-9611-f37b4e12a442,General practice service,GASA_417020838,GENERAL PRACTICE,2024-03-05
32,active,Faulconbridge Medical Practice,39 Coomassie Avenue Faulconbridge NSW 2776,Faulconbridge,NSW,2776,150.5480804,-33.69320679,c054c288-324a-392c-1970-e20a5e51f867,General practice service,,GENERAL PRACTICE,2024-03-05
33,active,Dr Sung-Phu Lam,64 Hanson Road Woodville Gardens SA 5012,Woodville Gardens,SA,5012,138.5482025,-34.86686707,3549de9b-6d22-8e1b-1ab8-c640e9ebead8,General practice service,GASA_415080524,GENERAL PRACTICE,2024-03-05
34,active,Wyong Village Medical Centre,18-34 Alison Road Wyong NSW 2259,Wyong,NSW,2259,151.4231873,-33.28338623,4706723b-d898-e3e6-7bc3-2ea39498a1d7,General practice service,,GENERAL PRACTICE,2024-03-05
35,active,Healthbound Family Practice,144 East Boundary Road Bentleigh East VIC 3165,Bentleigh East,VIC,3165,145.0571624,-37.9221516,0c5af146-57bc-4b75-b0af-5913b485fb83,General practice service,GAVIC420256290,GENERAL PRACTICE,2024-03-05
36,active,Dr D Isaacs Practice,12 Mclaren Street North Sydney NSW 2060,North Sydney,NSW,2060,151.2055206,-33.83430099,66178b5d-fed6-a45c-d0ed-4fba7a073147,General practice service,GANSW705552475,GENERAL PRACTICE,2024-03-05
37,active,Hamilton Hill Family Practice,51 Rockingham Road Hamilton Hill WA 6163,Hamilton Hill,WA,6163,115.7690887,-32.08270645,5719ed04-7e1f-b09b-8bd4-10ec5d5f4d42,General practice service,,GENERAL PRACTICE,2024-03-05
38,active,Ontario Medical Clinic,196-200 Ontario Avenue Mildura VIC 3500,Mildura,VIC,3500,142.144928,-34.1837883,7c0ad7a9-c6ad-cf4b-5c62-99510393ffe7,General practice service,,GENERAL PRACTICE,2024-03-05
39,active,Alexandra Street Medical Clinic,322 Inkerman Street St Kilda East VIC 3183,St Kilda East,VIC,3183,145.0029449,-37.86656189,cefe9baa-ec55-319f-6832-be1ad6449df6,General practice service,GAVIC420803962,GENERAL PRACTICE,2024-03-05
40,active,Springs Medical Kyneton,89 Piper Street Kyneton VIC 3444,Kyneton,VIC,3444,144.446983,-37.244059,d9f7a215-7811-4641-b2de-083bde51d903,General practice service,GAVIC420552060,GENERAL PRACTICE,2024-03-05
41,active,Myhealth Benowa,21 Carrara Street Benowa QLD 4217,Benowa,QLD,4217,153.3933411,-28.00878525,9cd3aa01-ee58-85ae-97a4-8295ccd12d21,General practice service,,GENERAL PRACTICE,2024-03-05
42,active,Evergreen Doctors,20 Bridge Street Pymble NSW 2073,Pymble,NSW,2073,151.1451161,-33.75083434,9fd2103f-5212-4fef-98e0-49874106638e,General practice service,,GENERAL PRACTICE,2024-03-05
43,active,Adelaide River Community Health Centre,21 Becker Street Adelaide River NT 0846,Adelaide River,NT,846,131.1042328,-13.23661041,bc4bab49-4c0f-2e69-9ba6-7d341263a41e,General practice service,GANT_703869593,GENERAL PRACTICE,2024-03-05
44,active,Orange After-Hours GP Clinic,1521 Forest Road Orange NSW 2800,Orange,NSW,2800,149.0900994,-33.31571383,c03ede4a-e3b1-4f0e-b4be-f786a168d2bb,General practice service,GANSW720083952,GENERAL PRACTICE,2024-03-05
45,active,Ashfield Country Practice,279 Ashfield Road Windermere QLD 4670,Windermere,QLD,4670,152.409591,-24.869096,f968a2fa-ff60-02f5-8b73-b4a6cf225329,General practice service,GAQLD155981573,GENERAL PRACTICE,2024-03-05
46,active,Dr Valerie Gonzaga Medical Practice,191 Ramsgate Road Ramsgate Beach NSW 2217,Ramsgate Beach,NSW,2217,151.144516,-33.98577499,dd415464-414c-18fe-de8a-16b0fd299c53,General practice service,,GENERAL PRACTICE,2024-03-05
47,active,Ochre Medical Centre Oakey,5 Cherry Street Oakey QLD 4401,Oakey,QLD,4401,151.7199805,-27.43308402,e75d2da8-862d-4316-b784-b6803cbd4ef5,General practice service,GAQLD155675586,GENERAL PRACTICE,2024-03-05
48,active,Glenmore Park Mediclinic,1-11 Town Terrace Glenmore Park NSW 2745,Glenmore Park,NSW,2745,150.668625,-33.787399,4fdd51ed-39e6-5e04-7a08-295beaa3b788,General practice service,,GENERAL PRACTICE,2024-03-05
49,active,Mossman Medical Centre,63 Front Street Mossman QLD 4873,Mossman,QLD,4873,145.3725433,-16.46595383,c2daba1c-beea-17f8-f31c-ef3fa5a2f4a3,General practice service,,GENERAL PRACTICE,2024-03-05
50,active,Wonthaggi Medical Group,42 Murray Street Wonthaggi VIC 3995,Wonthaggi,VIC,3995,145.5878906,-38.60483551,ebff30e0-45dd-ad39-e4be-8b8c0d85ebbc,General practice service,GAVIC414853510,GENERAL PRACTICE,2024-03-05
51,active,Ochre Medical Centre Grafton,4 Clarence Street Grafton NSW 2460,Grafton,NSW,2460,152.9390717,-29.69529152,cc212909-c1d9-ffdf-d8ae-23727a54cf3f,General practice service,GANSW718351791,GENERAL PRACTICE,2024-03-05
52,active,Baby Steps Health Centre,127 Herdsman Parade Wembley WA 6014,Wembley,WA,6014,115.8073273,-31.93128014,12dab309-a928-4508-b95a-9a9e8af811df,General practice service,GAWA_163207507,GENERAL PRACTICE,2024-03-05
53,active,Dimitri's Surgery,19 Restwell Street Bankstown NSW 2200,Bankstown,NSW,2200,151.0345917,-33.91915894,872f1122-679e-c264-7bc1-4fd615ffdb67,General practice service,GANSW703992272,GENERAL PRACTICE,2024-03-05
54,active,Ravenshoe Medical Centre,62 Grigg Street Ravenshoe QLD 4888,Ravenshoe,QLD,4888,145.4832306,-17.60686684,6483629a-dc98-bbee-3a05-f7344e44ae70,General practice service,GAQLD157013737,GENERAL PRACTICE,2024-03-05
55,active,Narangba Family Medical Practice,14 Main Street Narangba QLD 4504,Narangba,QLD,4504,152.9608508,-27.20427284,e480e730-d61d-2018-60f7-bea832c61b4e,General practice service,GAQLD156054587,GENERAL PRACTICE,2024-03-05
56,active,Health HQ,127 Queen Street Southport QLD 4215,Southport,QLD,4215,153.409288,-27.97197463,32db8ef9-8ed3-8b4f-4436-9b610bf08d38,General practice service,,GENERAL PRACTICE,2024-03-05
57,active,Macquarie Fields Medical Centre,88-92 Saywell Road Macquarie Fields NSW 2564,Macquarie Fields,NSW,2564,150.8838043,-33.99040222,3b4c0305-8742-9645-83f6-137d242e9f80,General practice service,GANSW705256169,GENERAL PRACTICE,2024-03-05
58,active,Mountain Gate Medical Centre,43-45 Adele Avenue Ferntree Gully VIC 3156,Ferntree Gully,VIC,3156,145.2732239,-37.88494873,fc8ac6f5-7aa5-c7cd-e593-691cbcd3e9f7,General practice service,,GENERAL PRACTICE,2024-03-05
59,active,Priority Medical Centre - HARRIS PARK,73 Marion Street Harris Park NSW 2150,Harris Park,NSW,2150,151.0097656,-33.82277679,1c0c9199-3271-25bf-3924-eb1c4de7cc90,General practice service,GANSW706492886,GENERAL PRACTICE,2024-03-05
60,active,Bundoora Family Clinic,12 Ormond Boulevard Bundoora VIC 3083,Bundoora,VIC,3083,145.0714722,-37.67972183,c31f1701-d45a-fcc4-dc90-13ae8d5c74a3,General practice service,GAVIC425684895,GENERAL PRACTICE,2024-03-05
61,active,North Shore Women's Health,55 Grandview Street Pymble NSW 2073,Pymble,NSW,2073,151.1431427,-33.74456024,026c6980-a71f-16e7-d124-5ac3c5807646,General practice service,,GENERAL PRACTICE,2024-03-05
62,active,Gabba Health Hub,21 O'keefe Street Woolloongabba QLD 4102,Woolloongabba,QLD,4102,153.0371512,-27.49753132,8d4b96d1-5002-40b3-8fe1-929bd4d9d292,General practice service,GAQLD161262487,GENERAL PRACTICE,2024-03-05
63,active,Dr Sobhy Khalil's Surgery,178 Mimosa Road Bossley Park NSW 2176,Bossley Park,NSW,2176,150.8896942,-33.86757278,44eac7d3-995a-0f1c-66f6-5cb295ee3de5,General practice service,GANSW704196549,GENERAL PRACTICE,2024-03-05
64,active,Lane Street Medical Centre,15-17 Lane Street Wentworthville NSW 2145,Wentworthville,NSW,2145,150.9726105,-33.80932236,abe139b4-b16d-d836-83ff-502629ad7fef,General practice service,GANSW718439320,GENERAL PRACTICE,2024-03-05
65,active,Spring Farm Medical Centre,254 Richardson Road Spring Farm NSW 2570,Spring Farm,NSW,2570,150.7289429,-34.06955719,1e3e42d7-feb4-c3eb-a135-f39302b43d0a,General practice service,GANSW719732844,GENERAL PRACTICE,2024-03-05
66,active,North Coburg Medical Centre,11 Orvieto Street Coburg North VIC 3058,Coburg North,VIC,3058,144.9599152,-37.72108078,9d75fc27-4517-534b-1f69-456c86e2d05c,General practice service,,GENERAL PRACTICE,2024-03-05
67,active,Canterbury Afterhours Clinic,575 Canterbury Road Campsie NSW 2194,Campsie,NSW,2194,151.098877,-33.92037582,af7478be-6039-3ebc-0e9f-783c2c0856f0,General practice service,,GENERAL PRACTICE,2024-03-05
68,active,Station Road Medical Centre,18 South Station Road Booval QLD 4304,Booval,QLD,4304,152.7899475,-27.61079407,9607e3b0-e4c4-b358-8baf-8597fbcf0caf,General practice service,GAQLD155053349,GENERAL PRACTICE,2024-03-05
69,active,Ingleburn Village Medical Centre,100 Macquarie Road Ingleburn NSW 2565,Ingleburn,NSW,2565,150.8666534,-33.9966507,f140da44-39a7-4c89-4172-e22de5938ddf,General practice service,,GENERAL PRACTICE,2024-03-05
70,active,OAK Family Practice,5 Pipit Close Huntingdale WA 6110,Huntingdale,WA,6110,115.9678955,-32.08198929,cd27cd63-50d0-1a6b-26e1-3ce74957ae37,General practice service,,GENERAL PRACTICE,2024-03-05
71,active,Tumbarumba Medical Practice,69 Murray Street Tumbarumba NSW 2653,Tumbarumba,NSW,2653,148.0127258,-35.77657318,441acc03-b4cb-1adf-e44f-4899275c5d9c,General practice service,GANSW706098932,GENERAL PRACTICE,2024-03-05
72,active,Neutral Bay Medical Centre,116 Military Road Neutral Bay NSW 2089,Neutral Bay,NSW,2089,151.2183685,-33.82951736,ab72ed83-324c-7f23-402a-f692f0cfec22,General practice service,GANSW706604183,GENERAL PRACTICE,2024-03-05
73,active,Adamstown Clinic,254 Brunker Road Adamstown NSW 2289,Adamstown,NSW,2289,151.7255402,-32.93452454,08b50be2-a189-4da3-ad07-7d2e07d122b5,General practice service,,GENERAL PRACTICE,2024-03-05
74,active,Keperra Medical Centre,14 Dallas Parade Keperra QLD 4054,Keperra,QLD,4054,152.9587097,-27.40945816,aca04ed1-0055-be53-936f-45f53860e521,General practice service,GAQLD156705280,GENERAL PRACTICE,2024-03-05
75,active,Ingham Family Medical Practice Cardwell,75 77 Victoria Street Cardwell QLD 4849,Cardwell,QLD,4849,146.0282906,-18.26663108,83b45b53-4e40-349d-6ddf-86b444720270,General practice service,GAQLD162367385,GENERAL PRACTICE,2024-03-05
76,active,Ultra Health Care,1160 Nepean Highway Cheltenham VIC 3192,Cheltenham,VIC,3192,145.0529938,-37.95975494,01e86f2e-51cd-946d-37ab-133e15a7e0cc,General practice service,GAVIC413906715,GENERAL PRACTICE,2024-03-05
77,active,Beerwah Medical Centre,15 Turner Street Beerwah QLD 4519,Beerwah,QLD,4519,152.9571991,-26.85886955,cee3bc3f-e63a-801c-bffb-a81b6426c08c,General practice service,GAQLD162525357,GENERAL PRACTICE,2024-03-05
78,active,Two Wells Medical Clinic,32 Old Mallala Rd Two Wells SA 5501,Two Wells,SA,5501,138.514349,-34.588647,98cde9a9-0927-0f75-1986-c23a197bd89e,General practice service,GASA_415403487,GENERAL PRACTICE,2024-03-05
79,active,Darley Medical Centre,147 Gisborne Road Darley VIC 3340,Darley,VIC,3340,144.4410095,-37.66030502,029f5c4d-ca85-9641-aea9-ccd45eb158fa,General practice service,GAVIC424356229,GENERAL PRACTICE,2024-03-05
80,active,Sexual Health Victoria - Action Centre,94 Elizabeth Street Melbourne VIC 3000,Melbourne,VIC,3000,144.9641724,-37.81573105,e12b3ab5-fee4-400f-04d2-933d24b4688f,General practice service,GAVIC423630527,GENERAL PRACTICE,2024-03-05
81,active,Thomas Street Family Medical Clinic,162 Thomas Street Brighton East VIC 3187,Brighton East,VIC,3187,145.0259094,-37.90450287,350088fd-18d8-f559-bf6f-64deabaa166e,General practice service,GAVIC421151558,GENERAL PRACTICE,2024-03-05
82,active,Australian Prostate Centre,14-20 Blackwood Street North Melbourne VIC 3051,North Melbourne,VIC,3051,144.9550171,-37.8016243,1d87eb63-f3b9-d079-dfb8-8a409cf41332,General practice service,GAVIC423621987,GENERAL PRACTICE,2024-03-05
83,active,Yandina Medical Clinic,18 Farrell Street Yandina QLD 4561,Yandina,QLD,4561,152.9567134,-26.56083531,1a6ec804-fd12-68fd-6b38-e1fc1adbc6e3,General practice service,GAQLD160107993,GENERAL PRACTICE,2024-03-05
84,active,The Grasstree Medical Practice,88 Uralba Street Lismore NSW 2480,Lismore,NSW,2480,153.2937775,-28.80854988,01b36b81-ea57-682a-6049-f3ce5688f82a,General practice service,GANSW705222004,GENERAL PRACTICE,2024-03-05
85,active,1 White Street Family Medical Practice,1 White Street Jannali NSW 2226,Jannali,NSW,2226,151.0663605,-34.01701355,114d87cc-19eb-0214-2642-93081ebe4f01,General practice service,GANSW705037021,GENERAL PRACTICE,2024-03-05
86,active,Yeppoon Family Practice,48 Normanby Street Yeppoon QLD 4703,Yeppoon,QLD,4703,150.7441101,-23.12790489,d65fd996-ba28-7815-f936-0e7bc1f4d224,General practice service,GAQLD157359504,GENERAL PRACTICE,2024-03-05
87,active,Leeton Medical Practice,82 Kurrajong Avenue Leeton NSW 2705,Leeton,NSW,2705,146.4080048,-34.55423737,e30cccf6-0c47-0ceb-aeb5-38b6cf61b6ba,General practice service,,GENERAL PRACTICE,2024-03-05
88,active,Adelaide Medical Solutions,850 Port Road Woodville South SA 5011,Woodville South,SA,5011,138.5357971,-34.88148117,8ecd2ded-4e58-68b1-386b-4123149b6230,General practice service,GASA_415411609,GENERAL PRACTICE,2024-03-05
89,active,Langford Medical Centre,76 Langford Avenue Langford WA 6147,Langford,WA,6147,115.9426193,-32.04318619,b72f4e3e-be01-d559-b903-b435579479c5,General practice service,,GENERAL PRACTICE,2024-03-05
90,active,Plumpton Marketplace Medical Centre,260 Jersey Road Plumpton NSW 2761,Plumpton,NSW,2761,150.8352356,-33.74670029,ae0375e3-34f3-6b8a-9cd2-804a77b98b71,General practice service,GANSW717637839,GENERAL PRACTICE,2024-03-05
91,active,Wongabel Family Practice,5 Wongabel Street Kenmore QLD 4069,Kenmore,QLD,4069,152.9482269,-27.50955009,690c628b-c717-e74a-803a-94f045541c95,General practice service,GAQLD156723255,GENERAL PRACTICE,2024-03-05
92,active,Bay Medical Group - Salamander Bay,6 Central Avenue Salamander Bay NSW 2317,Salamander Bay,NSW,2317,152.089447,-32.72916794,47e7c598-8dd8-eed8-3ebf-f6d7942b841c,General practice service,,GENERAL PRACTICE,2024-03-05
93,active,Galaxy Health Medical Centre Byford,34 Abernethy Road Byford WA 6122,Byford,WA,6122,116.005,-32.22103,e57d3252-1d9d-4676-a601-f746be8575f9,General practice service,GAWA_719866035,GENERAL PRACTICE,2024-03-05
94,active,Yagoona Medical Centre,552 Hume Highway Yagoona NSW 2199,Yagoona,NSW,2199,151.0225983,-33.90684509,1adcad4d-7051-fe1d-0f97-344b00db49a1,General practice service,,GENERAL PRACTICE,2024-03-05
95,active,Mid Eyre Medical,15 Main Street Cleve SA 5640,Cleve,SA,5640,136.4947968,-33.70210648,951defd5-6bb3-ecda-e3b9-c8edf8e2895a,General practice service,GASA_415508139,GENERAL PRACTICE,2024-03-05
96,active,Wyndham Health Care,231-233 Heaths Road Werribee VIC 3030,Werribee,VIC,3030,144.6808661,-37.87779366,9e8eb557-b8c8-9eab-361c-8320b7283334,General practice service,GAVIC412878669,GENERAL PRACTICE,2024-03-05
97,active,Kallangur Medical Centre,1420 Anzac Ave Kallangur QLD 4503,Kallangur,QLD,4503,152.994011,-27.24984,bbb3de9b-bb9b-0878-1aca-c01b304f5661,General practice service,GAQLD160004377,GENERAL PRACTICE,2024-03-05
98,active,Bega Valley Medical Practice,61 Carp Street Bega NSW 2550,Bega,NSW,2550,149.8467865,-36.67447662,86c4a397-20eb-9b09-4c91-f3a7b2e71f5f,General practice service,GANSW704065470,GENERAL PRACTICE,2024-03-05
99,active,Chisholm Family Practice,187 Caroline Chisholm Drive Winston Hills NSW 2153,Winston Hills,NSW,2153,150.9703217,-33.77370834,89ac99a1-3290-6ab4-3741-bb1256723e8d,General practice service,GANSW706342880,GENERAL PRACTICE,2024-03-05
100,active,South Grafton Medical Centre,98 Through Street South Grafton NSW 2460,South Grafton,NSW,2460,152.9348602,-29.70140076,7fd7b904-cb23-9d5a-302a-a60230635a59,General practice service,GANSW705955545,GENERAL PRACTICE,2024-03-05
101,active,Juniper Avenue Medical Centre,2 Juniper Avenue Point Cook VIC 3030,Point Cook,VIC,3030,144.738266,-37.88544464,897c8271-8551-5a3e-4e77-d6fdb87a1e7e,General practice service,,GENERAL PRACTICE,2024-03-05
102,active,Flinders Avenue Surgery,58-66 Flinders Avenue Whyalla Stuart SA 5608,Whyalla Stuart,SA,5608,137.5221252,-33.02783585,89fd4d96-2cf9-ab7b-0815-f505e65a17f1,General practice service,,GENERAL PRACTICE,2024-03-05
103,active,Quakers Hill Family Practice,15 Railway Road Quakers Hill NSW 2763,Quakers Hill,NSW,2763,150.885309,-33.727079,ddea7bba-4aac-25d0-761c-242a0c34e650,General practice service,GANSW712930016,GENERAL PRACTICE,2024-03-05
104,active,Gumdale Medical Centre,696 New Cleveland Road Gumdale QLD 4154,Gumdale,QLD,4154,153.1532288,-27.49032021,ea513160-9337-7328-48a9-1863cf605f64,General practice service,,GENERAL PRACTICE,2024-03-05
105,active,West End Medical,2 Bannister Street Fremantle WA 6160,Fremantle,WA,6160,115.745512,-32.055294,9ff01914-7fc2-445e-bf4d-97fc0e2c02b8,General practice service,GAWA_146749216,GENERAL PRACTICE,2024-03-05
106,active,Dunolly Medical Practice,24 Havelock Street Dunolly VIC 3472,Dunolly,VIC,3472,143.7355652,-36.85712433,1df583e6-b33e-7c4b-3914-106113b0031a,General practice service,,GENERAL PRACTICE,2024-03-05
107,active,Vahland Avenue Medical Centre,314 Vahland Avenue Willetton WA 6155,Willetton,WA,6155,115.8894958,-32.06113434,f4a0c9e1-5649-22cd-9c96-2e60e9d693b3,General practice service,,GENERAL PRACTICE,2024-03-05
108,active,Balmain Central General Practice,2 Beattie Street Balmain NSW 2041,Balmain,NSW,2041,151.180542,-33.8580246,ac50d982-4773-aee8-1030-66976cf13eae,General practice service,GANSW703993963,GENERAL PRACTICE,2024-03-05
109,active,Ochre Health Medical Centre - King Island,35 Edward Street Currie TAS 7256,Currie,TAS,7256,143.8578949,-39.9298172,7287e5ef-e492-c40a-b824-c462de325cf5,General practice service,GATAS718479320,GENERAL PRACTICE,2024-03-05
110,active,Dr John Criticos,77 Silver Street Marrickville NSW 2204,Marrickville,NSW,2204,151.1576691,-33.91061783,52ba186b-9057-5a93-71e3-3aa2bb226f75,General practice service,GANSW705289619,GENERAL PRACTICE,2024-03-05
111,active,One Healthcare - Blakeview,8 Main North Road Blakeview SA 5114,Blakeview,SA,5114,138.693008,-34.684792,0950fae0-34dc-0fd2-b786-6c50ca0672f8,General practice service,,GENERAL PRACTICE,2024-03-05
112,active,Murray Valley Aboriginal Co-operative Health Service,87 Latje Road Robinvale VIC 3549,Robinvale,VIC,3549,142.7786407,-34.57953262,edd8a257-fd1c-7ca8-2585-07be43f4313e,General practice service,GAVIC412220388,GENERAL PRACTICE,2024-03-05
113,active,Cardwell Family Practice,226 Victoria Street Cardwell QLD 4849,Cardwell,QLD,4849,146.0168152,-18.25551987,d094c578-9e43-2888-27d5-34323bdaa127,General practice service,GAQLD156410235,GENERAL PRACTICE,2024-03-05
