State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
NSW,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,83.0%,50.33
Vic,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,80.0%,51.18
Vic,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,82.3%,50.08
Vic,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,77.1%,48.68
Vic,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,79.6%,55.36
Vic,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,85.3%,53.34
Vic,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,79.0%,50.08
Vic,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,79.2%,50.14
Qld,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,77.4%,52.60
Qld,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,70.2%,53.08
Qld,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,77.3%,50.40
Qld,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,81.5%,53.52
Qld,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,82.4%,49.97
Qld,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,79.6%,53.70
Qld,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,77.0%,54.43
Qld,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,79.7%,54.53
SA,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,76.5%,47.06
SA,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,75.2%,46.18
SA,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,79.7%,49.79
WA,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,71.9%,51.10
WA,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,67.9%,52.48
WA,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,73.3%,48.36
WA,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,77.5%,53.85
Tas,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,75.3%,61.30
Tas,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,75.3%,61.30
NT,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,77.8%,48.55
NT,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,77.8%,48.55
ACT,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,56.8%,60.63
ACT,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,56.8%,60.63
Unk,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,98.6%,60.61
Unk,2024-25 Q4 (Jun Qtr),Total GP Non-Referred Attendances,98.6%,60.61
Australia,2024-25 Q4 (Jun Qtr),Practice Nurse,98.2%,20.73
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,98.5%,21.74
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,99.5%,14.17
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,97.9%,20.99
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,99.4%,27.40
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,99.3%,24.82
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,99.2%,4.42
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,99.3%,25.38
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,99.0%,22.57
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,97.1%,24.46
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,98.7%,16.79
NSW,2024-25 Q4 (Jun Qtr),Practice Nurse,99.6%,11.18
Vic,2024-25 Q4 (Jun Qtr),Practice Nurse,98.3%,20.80
Vic,2024-25 Q4 (Jun Qtr),Practice Nurse,99.6%,12.17
Vic,2024-25 Q4 (Jun Qtr),Practice Nurse,99.2%,16.89
Vic,2024-25 Q4 (Jun Qtr),Practice Nurse,98.8%,19.75
Vic,2024-25 Q4 (Jun Qtr),Practice Nurse,96.5%,21.78
Vic,2024-25 Q4 (Jun Qtr),Practice Nurse,94.2%,22.27
Vic,2024-25 Q4 (Jun Qtr),Practice Nurse,98.0%,21.93
Qld,2024-25 Q4 (Jun Qtr),Practice Nurse,97.3%,22.38
Qld,2024-25 Q4 (Jun Qtr),Practice Nurse,98.4%,21.81
Qld,2024-25 Q4 (Jun Qtr),Practice Nurse,98.3%,23.97
Qld,2024-25 Q4 (Jun Qtr),Practice Nurse,99.0%,16.31
Qld,2024-25 Q4 (Jun Qtr),Practice Nurse,99.2%,20.33
Qld,2024-25 Q4 (Jun Qtr),Practice Nurse,99.4%,20.07
Qld,2024-25 Q4 (Jun Qtr),Practice Nurse,96.7%,20.62
Qld,2024-25 Q4 (Jun Qtr),Practice Nurse,92.9%,23.79
SA,2024-25 Q4 (Jun Qtr),Practice Nurse,99.0%,5.36
SA,2024-25 Q4 (Jun Qtr),Practice Nurse,98.9%,3.87
SA,2024-25 Q4 (Jun Qtr),Practice Nurse,99.3%,10.06
WA,2024-25 Q4 (Jun Qtr),Practice Nurse,98.2%,20.01
WA,2024-25 Q4 (Jun Qtr),Practice Nurse,98.4%,17.39
WA,2024-25 Q4 (Jun Qtr),Practice Nurse,97.0%,21.33
WA,2024-25 Q4 (Jun Qtr),Practice Nurse,99.6%,16.37
Tas,2024-25 Q4 (Jun Qtr),Practice Nurse,96.6%,20.62
Tas,2024-25 Q4 (Jun Qtr),Practice Nurse,96.6%,20.62
NT,2024-25 Q4 (Jun Qtr),Practice Nurse,100.0%,8.29
NT,2024-25 Q4 (Jun Qtr),Practice Nurse,100.0%,8.29
ACT,2024-25 Q4 (Jun Qtr),Practice Nurse,99.0%,9.90
ACT,2024-25 Q4 (Jun Qtr),Practice Nurse,99.0%,9.90
Unk,2024-25 Q4 (Jun Qtr),Practice Nurse,98.4%,21.50
Unk,2024-25 Q4 (Jun Qtr),Practice Nurse,98.4%,21.50
Australia,2024-25 Q4 (Jun Qtr),Other Allied Health,40.9%,74.82
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,41.7%,74.82
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,37.6%,89.95
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,26.5%,90.12
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,59.7%,74.48
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,47.5%,72.23
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,62.7%,66.69
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,29.2%,66.18
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,47.3%,74.20
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,33.9%,65.28
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,35.1%,56.71
NSW,2024-25 Q4 (Jun Qtr),Other Allied Health,44.9%,59.24
Vic,2024-25 Q4 (Jun Qtr),Other Allied Health,38.6%,73.87
Vic,2024-25 Q4 (Jun Qtr),Other Allied Health,45.2%,81.11
Vic,2024-25 Q4 (Jun Qtr),Other Allied Health,35.5%,75.15
Vic,2024-25 Q4 (Jun Qtr),Other Allied Health,37.2%,77.44
Vic,2024-25 Q4 (Jun Qtr),Other Allied Health,41.3%,54.52
Vic,2024-25 Q4 (Jun Qtr),Other Allied Health,33.9%,55.53
Vic,2024-25 Q4 (Jun Qtr),Other Allied Health,32.2%,65.81
Qld,2024-25 Q4 (Jun Qtr),Other Allied Health,44.3%,76.40
Qld,2024-25 Q4 (Jun Qtr),Other Allied Health,37.7%,83.77
Qld,2024-25 Q4 (Jun Qtr),Other Allied Health,48.8%,83.38
Qld,2024-25 Q4 (Jun Qtr),Other Allied Health,45.8%,74.40
Qld,2024-25 Q4 (Jun Qtr),Other Allied Health,54.9%,69.83
Qld,2024-25 Q4 (Jun Qtr),Other Allied Health,67.0%,80.62
Qld,2024-25 Q4 (Jun Qtr),Other Allied Health,38.3%,67.00
Qld,2024-25 Q4 (Jun Qtr),Other Allied Health,45.6%,70.11
SA,2024-25 Q4 (Jun Qtr),Other Allied Health,50.9%,67.53
SA,2024-25 Q4 (Jun Qtr),Other Allied Health,53.8%,73.22
SA,2024-25 Q4 (Jun Qtr),Other Allied Health,41.3%,52.90
WA,2024-25 Q4 (Jun Qtr),Other Allied Health,36.2%,77.91
WA,2024-25 Q4 (Jun Qtr),Other Allied Health,30.1%,80.01
WA,2024-25 Q4 (Jun Qtr),Other Allied Health,42.5%,77.48
WA,2024-25 Q4 (Jun Qtr),Other Allied Health,37.0%,71.51
Tas,2024-25 Q4 (Jun Qtr),Other Allied Health,22.3%,61.46
Tas,2024-25 Q4 (Jun Qtr),Other Allied Health,22.3%,61.46
NT,2024-25 Q4 (Jun Qtr),Other Allied Health,47.6%,84.71
NT,2024-25 Q4 (Jun Qtr),Other Allied Health,47.6%,84.71
ACT,2024-25 Q4 (Jun Qtr),Other Allied Health,15.9%,101.43
ACT,2024-25 Q4 (Jun Qtr),Other Allied Health,15.9%,101.43
Unk,2024-25 Q4 (Jun Qtr),Other Allied Health,85.2%,57.90
Unk,2024-25 Q4 (Jun Qtr),Other Allied Health,85.2%,57.90
Australia,2024-25 Q4 (Jun Qtr),Specialist Attendances,28.4%,135.24
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,31.4%,142.79
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,31.5%,154.76
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,22.2%,152.01
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,36.1%,143.49
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,33.5%,138.42
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,39.5%,141.11
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,31.9%,139.48
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,36.8%,139.45
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,28.9%,133.21
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,32.1%,122.58
NSW,2024-25 Q4 (Jun Qtr),Specialist Attendances,28.3%,127.17
Vic,2024-25 Q4 (Jun Qtr),Specialist Attendances,29.3%,127.25
Vic,2024-25 Q4 (Jun Qtr),Specialist Attendances,31.9%,133.42
Vic,2024-25 Q4 (Jun Qtr),Specialist Attendances,24.6%,128.68
Vic,2024-25 Q4 (Jun Qtr),Specialist Attendances,29.0%,130.00
Vic,2024-25 Q4 (Jun Qtr),Specialist Attendances,40.0%,114.19
Vic,2024-25 Q4 (Jun Qtr),Specialist Attendances,32.3%,117.26
Vic,2024-25 Q4 (Jun Qtr),Specialist Attendances,29.5%,115.31
Qld,2024-25 Q4 (Jun Qtr),Specialist Attendances,25.2%,137.75
Qld,2024-25 Q4 (Jun Qtr),Specialist Attendances,20.8%,142.27
Qld,2024-25 Q4 (Jun Qtr),Specialist Attendances,24.4%,138.47
Qld,2024-25 Q4 (Jun Qtr),Specialist Attendances,24.0%,134.60
Qld,2024-25 Q4 (Jun Qtr),Specialist Attendances,23.7%,135.56
Qld,2024-25 Q4 (Jun Qtr),Specialist Attendances,37.2%,145.65
Qld,2024-25 Q4 (Jun Qtr),Specialist Attendances,27.8%,137.66
Qld,2024-25 Q4 (Jun Qtr),Specialist Attendances,35.3%,130.27
SA,2024-25 Q4 (Jun Qtr),Specialist Attendances,29.4%,110.42
SA,2024-25 Q4 (Jun Qtr),Specialist Attendances,27.8%,110.41
SA,2024-25 Q4 (Jun Qtr),Specialist Attendances,33.8%,110.43
WA,2024-25 Q4 (Jun Qtr),Specialist Attendances,20.5%,142.66
WA,2024-25 Q4 (Jun Qtr),Specialist Attendances,19.6%,145.03
WA,2024-25 Q4 (Jun Qtr),Specialist Attendances,19.3%,142.14
WA,2024-25 Q4 (Jun Qtr),Specialist Attendances,25.9%,136.69
Tas,2024-25 Q4 (Jun Qtr),Specialist Attendances,23.6%,112.86
Tas,2024-25 Q4 (Jun Qtr),Specialist Attendances,23.6%,112.86
NT,2024-25 Q4 (Jun Qtr),Specialist Attendances,30.5%,138.03
NT,2024-25 Q4 (Jun Qtr),Specialist Attendances,30.5%,138.03
ACT,2024-25 Q4 (Jun Qtr),Specialist Attendances,24.4%,160.84
ACT,2024-25 Q4 (Jun Qtr),Specialist Attendances,24.4%,160.84
Unk,2024-25 Q4 (Jun Qtr),Specialist Attendances,42.6%,155.24
Unk,2024-25 Q4 (Jun Qtr),Specialist Attendances,42.6%,155.24
Australia,2024-25 Q4 (Jun Qtr),Obstetrics,51.3%,346.96
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,50.0%,390.95
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,36.1%,416.27
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,40.9%,486.49
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,71.5%,659.97
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,59.8%,278.37
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,58.3%,458.95
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,36.5%,287.24
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,47.2%,180.72
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,50.6%,250.99
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,52.3%,221.18
NSW,2024-25 Q4 (Jun Qtr),Obstetrics,43.3%,176.26
Vic,2024-25 Q4 (Jun Qtr),Obstetrics,70.8%,628.74
Vic,2024-25 Q4 (Jun Qtr),Obstetrics,73.6%,788.40
Vic,2024-25 Q4 (Jun Qtr),Obstetrics,66.5%,692.92
Vic,2024-25 Q4 (Jun Qtr),Obstetrics,72.7%,671.46
Vic,2024-25 Q4 (Jun Qtr),Obstetrics,81.5%,138.87
Vic,2024-25 Q4 (Jun Qtr),Obstetrics,58.0%,233.78
Vic,2024-25 Q4 (Jun Qtr),Obstetrics,65.1%,497.34
Qld,2024-25 Q4 (Jun Qtr),Obstetrics,38.4%,208.67
Qld,2024-25 Q4 (Jun Qtr),Obstetrics,26.2%,211.30
Qld,2024-25 Q4 (Jun Qtr),Obstetrics,38.8%,222.23
Qld,2024-25 Q4 (Jun Qtr),Obstetrics,43.8%,223.09
Qld,2024-25 Q4 (Jun Qtr),Obstetrics,37.8%,180.91
Qld,2024-25 Q4 (Jun Qtr),Obstetrics,50.5%,290.34
Qld,2024-25 Q4 (Jun Qtr),Obstetrics,39.9%,170.60
Qld,2024-25 Q4 (Jun Qtr),Obstetrics,50.8%,221.71
SA,2024-25 Q4 (Jun Qtr),Obstetrics,38.1%,265.60
SA,2024-25 Q4 (Jun Qtr),Obstetrics,33.8%,298.06
SA,2024-25 Q4 (Jun Qtr),Obstetrics,47.8%,178.64
WA,2024-25 Q4 (Jun Qtr),Obstetrics,37.6%,213.35
WA,2024-25 Q4 (Jun Qtr),Obstetrics,33.5%,245.43
WA,2024-25 Q4 (Jun Qtr),Obstetrics,38.3%,212.09
WA,2024-25 Q4 (Jun Qtr),Obstetrics,46.3%,122.46
Tas,2024-25 Q4 (Jun Qtr),Obstetrics,43.2%,274.12
Tas,2024-25 Q4 (Jun Qtr),Obstetrics,43.2%,274.12
NT,2024-25 Q4 (Jun Qtr),Obstetrics,63.0%,190.88
NT,2024-25 Q4 (Jun Qtr),Obstetrics,63.0%,190.88
ACT,2024-25 Q4 (Jun Qtr),Obstetrics,25.1%,352.88
ACT,2024-25 Q4 (Jun Qtr),Obstetrics,25.1%,352.88
Unk,2024-25 Q4 (Jun Qtr),Obstetrics,100.0%,-
Unk,2024-25 Q4 (Jun Qtr),Obstetrics,100.0%,-
Australia,2024-25 Q4 (Jun Qtr),Anaesthetics,9.6%,261.26
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,9.0%,203.24
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,6.8%,281.38
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,4.5%,134.78
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,9.9%,242.93
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,14.2%,295.48
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,17.1%,315.38
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,14.0%,220.66
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,5.3%,110.98
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,9.3%,172.44
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,6.2%,111.42
NSW,2024-25 Q4 (Jun Qtr),Anaesthetics,3.8%,83.99
Vic,2024-25 Q4 (Jun Qtr),Anaesthetics,9.0%,276.80
Vic,2024-25 Q4 (Jun Qtr),Anaesthetics,13.8%,339.45
Vic,2024-25 Q4 (Jun Qtr),Anaesthetics,7.2%,298.54
Vic,2024-25 Q4 (Jun Qtr),Anaesthetics,8.8%,341.70
Vic,2024-25 Q4 (Jun Qtr),Anaesthetics,11.1%,264.52
Vic,2024-25 Q4 (Jun Qtr),Anaesthetics,5.9%,139.26
Vic,2024-25 Q4 (Jun Qtr),Anaesthetics,6.4%,193.87
Qld,2024-25 Q4 (Jun Qtr),Anaesthetics,15.8%,277.32
Qld,2024-25 Q4 (Jun Qtr),Anaesthetics,13.2%,266.75
Qld,2024-25 Q4 (Jun Qtr),Anaesthetics,29.0%,286.56
Qld,2024-25 Q4 (Jun Qtr),Anaesthetics,11.2%,181.17
Qld,2024-25 Q4 (Jun Qtr),Anaesthetics,13.0%,339.88
Qld,2024-25 Q4 (Jun Qtr),Anaesthetics,5.6%,235.18
Qld,2024-25 Q4 (Jun Qtr),Anaesthetics,9.7%,306.54
Qld,2024-25 Q4 (Jun Qtr),Anaesthetics,7.7%,295.49
SA,2024-25 Q4 (Jun Qtr),Anaesthetics,6.9%,213.48
SA,2024-25 Q4 (Jun Qtr),Anaesthetics,6.7%,237.34
SA,2024-25 Q4 (Jun Qtr),Anaesthetics,7.4%,167.48
WA,2024-25 Q4 (Jun Qtr),Anaesthetics,4.5%,439.54
WA,2024-25 Q4 (Jun Qtr),Anaesthetics,4.2%,384.89
WA,2024-25 Q4 (Jun Qtr),Anaesthetics,5.1%,475.17
WA,2024-25 Q4 (Jun Qtr),Anaesthetics,3.9%,518.68
Tas,2024-25 Q4 (Jun Qtr),Anaesthetics,1.5%,123.10
Tas,2024-25 Q4 (Jun Qtr),Anaesthetics,1.5%,123.10
NT,2024-25 Q4 (Jun Qtr),Anaesthetics,4.8%,185.79
NT,2024-25 Q4 (Jun Qtr),Anaesthetics,4.8%,185.79
ACT,2024-25 Q4 (Jun Qtr),Anaesthetics,4.5%,164.45
ACT,2024-25 Q4 (Jun Qtr),Anaesthetics,4.5%,164.45
Unk,2024-25 Q4 (Jun Qtr),Anaesthetics,9.4%,"1,131.18"
Unk,2024-25 Q4 (Jun Qtr),Anaesthetics,9.4%,"1,131.18"
Australia,2024-25 Q4 (Jun Qtr),Total Pathology,89.6%,26.72
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,88.2%,28.51
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,86.6%,39.65
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,83.1%,25.22
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,90.5%,23.94
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,90.7%,29.81
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,91.4%,25.81
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,89.5%,21.74
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,89.9%,36.74
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,87.2%,30.04
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,89.1%,27.65
NSW,2024-25 Q4 (Jun Qtr),Total Pathology,89.4%,40.37
Vic,2024-25 Q4 (Jun Qtr),Total Pathology,90.7%,26.74
Vic,2024-25 Q4 (Jun Qtr),Total Pathology,93.6%,27.98
Vic,2024-25 Q4 (Jun Qtr),Total Pathology,87.8%,30.92
Vic,2024-25 Q4 (Jun Qtr),Total Pathology,89.3%,29.21
Vic,2024-25 Q4 (Jun Qtr),Total Pathology,92.9%,18.84
Vic,2024-25 Q4 (Jun Qtr),Total Pathology,92.6%,20.37
Vic,2024-25 Q4 (Jun Qtr),Total Pathology,90.6%,21.10
Qld,2024-25 Q4 (Jun Qtr),Total Pathology,89.8%,24.06
Qld,2024-25 Q4 (Jun Qtr),Total Pathology,89.9%,22.71
Qld,2024-25 Q4 (Jun Qtr),Total Pathology,89.8%,21.30
Qld,2024-25 Q4 (Jun Qtr),Total Pathology,89.6%,31.30
Qld,2024-25 Q4 (Jun Qtr),Total Pathology,89.9%,24.29
Qld,2024-25 Q4 (Jun Qtr),Total Pathology,91.5%,25.64
Qld,2024-25 Q4 (Jun Qtr),Total Pathology,89.5%,24.88
Qld,2024-25 Q4 (Jun Qtr),Total Pathology,90.6%,25.72
SA,2024-25 Q4 (Jun Qtr),Total Pathology,88.6%,25.84
SA,2024-25 Q4 (Jun Qtr),Total Pathology,87.8%,26.71
SA,2024-25 Q4 (Jun Qtr),Total Pathology,90.7%,23.38
WA,2024-25 Q4 (Jun Qtr),Total Pathology,90.5%,28.36
WA,2024-25 Q4 (Jun Qtr),Total Pathology,90.1%,28.18
WA,2024-25 Q4 (Jun Qtr),Total Pathology,90.0%,31.13
WA,2024-25 Q4 (Jun Qtr),Total Pathology,92.6%,18.19
Tas,2024-25 Q4 (Jun Qtr),Total Pathology,93.4%,32.87
Tas,2024-25 Q4 (Jun Qtr),Total Pathology,93.4%,32.87
NT,2024-25 Q4 (Jun Qtr),Total Pathology,97.4%,49.23
NT,2024-25 Q4 (Jun Qtr),Total Pathology,97.4%,49.23
ACT,2024-25 Q4 (Jun Qtr),Total Pathology,92.0%,19.17
ACT,2024-25 Q4 (Jun Qtr),Total Pathology,92.0%,19.17
Unk,2024-25 Q4 (Jun Qtr),Total Pathology,97.4%,0.00
Unk,2024-25 Q4 (Jun Qtr),Total Pathology,97.4%,0.00
Australia,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,76.2%,135.50
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,77.2%,131.85
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,75.4%,149.09
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,61.8%,138.56
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,85.3%,138.58
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,87.4%,139.30
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,89.7%,149.50
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,76.5%,129.58
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,72.8%,111.73
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,77.0%,115.55
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,65.8%,106.42
NSW,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,68.1%,143.28
Vic,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,78.8%,143.17
Vic,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,84.8%,163.18
Vic,2024-25 Q4 (Jun Qtr),Diagnostic Imaging,77.8%,152.41
